年月底,消費者貸款小  計,購置住宅   貸款,房屋修繕   貸款,汽車貸款,機關團體職工福利貸款,其他個人消費性貸款,信用卡循環信用餘額,建築貸款
7707,"  741,707 ","  313,054 ","  214,436 ","  7,613 ","  60,071 ","  146,533 ",  -   ,"  40,895 "
7708,"  754,632 ","  322,230 ","  214,230 ","  7,205 ","  60,417 ","  150,550 ",  -   ,"  43,886 "
7709,"  778,461 ","  379,673 ","  218,529 ","  8,042 ","  60,664 ","  111,553 ",  -   ,"  47,031 "
7710,"  789,392 ","  383,881 ","  223,095 ","  8,030 ","  60,785 ","  113,601 ",  -   ,"  49,413 "
7711,"  806,728 ","  394,491 ","  228,079 ","  7,701 ","  60,115 ","  116,342 ",  -   ,"  54,520 "
7712,"  840,875 ","  415,201 ","  236,062 ","  7,742 ","  62,779 ","  119,091 ",  -   ,"  54,876 "
7801,"  855,900 ","  423,509 ","  240,738 ","  7,767 ","  63,301 ","  120,585 ",  -   ,"  57,958 "
7802,"  871,555 ","  433,296 ","  245,384 ","  8,052 ","  62,806 ","  122,017 ",  -   ,"  60,251 "
7803,"  891,937 ","  448,972 ","  249,602 ","  8,267 ","  62,320 ","  122,776 ",  -   ,"  61,866 "
7804,"  904,587 ","  452,213 ","  253,708 ","  10,442 ","  63,015 ","  125,209 ",  -   ,"  63,279 "
7805,"  905,050 ","  454,124 ","  254,552 ","  8,411 ","  61,888 ","  126,075 ",  -   ,"  60,849 "
7806,"  910,883 ","  457,314 ","  257,641 ","  8,144 ","  62,305 ","  125,479 ",  -   ,"  63,379 "
7807,"  911,653 ","  459,748 ","  258,606 ","  8,258 ","  60,925 ","  124,116 ",  -   ,"  65,977 "
7808,"  918,314 ","  466,067 ","  260,211 ","  8,343 ","  59,885 ","  123,808 ",  -   ,"  62,915 "
7809,"  933,645 ","  473,424 ","  266,438 ","  8,308 ","  58,972 ","  126,503 ",  -   ,"  64,526 "
7810,"  944,900 ","  478,109 ","  269,878 ","  7,680 ","  59,032 ","  130,201 ",  -   ,"  64,488 "
7811,"  954,758 ","  482,924 ","  274,531 ","  7,439 ","  58,174 ","  131,690 ",  -   ,"  63,956 "
7812,"  975,375 ","  490,867 ","  283,357 ","  7,581 ","  58,517 ","  135,053 ",  -   ,"  63,351 "
7901,"  996,956 ","  501,214 ","  292,825 ","  7,558 ","  58,089 ","  137,270 ",  -   ,"  64,001 "
7902,"  1,012,106 ","  508,596 ","  300,262 ","  7,633 ","  57,309 ","  138,306 ",  -   ,"  65,667 "
7903,"  1,020,356 ","  512,611 ","  304,730 ","  7,436 ","  56,284 ","  139,295 ",  -   ,"  63,895 "
7904,"  1,022,175 ","  511,716 ","  308,830 ","  7,158 ","  54,938 ","  139,533 ",  -   ,"  62,721 "
7905,"  1,028,228 ","  518,914 ","  308,258 ","  7,205 ","  53,722 ","  140,129 ",  -   ,"  61,467 "
7906,"  1,035,706 ","  521,322 ","  313,658 ","  7,151 ","  52,777 ","  140,798 ",  -   ,"  60,190 "
7907,"  1,033,659 ","  518,435 ","  317,495 ","  6,869 ","  51,390 ","  139,470 ",  -   ,"  63,261 "
7908,"  1,042,026 ","  522,391 ","  326,854 ","  6,696 ","  49,129 ","  136,956 ",  -   ,"  64,000 "
7909,"  1,044,513 ","  523,597 ","  331,303 ","  6,746 ","  48,876 ","  133,991 ",  -   ,"  63,855 "
7910,"  1,048,246 ","  524,850 ","  335,154 ","  6,534 ","  47,901 ","  133,807 ",  -   ,"  67,291 "
7911,"  1,056,553 ","  529,190 ","  338,928 ","  6,442 ","  47,529 ","  134,464 ",  -   ,"  65,236 "
7912,"  1,070,806 ","  536,653 ","  345,663 ","  6,300 ","  47,436 ","  134,754 ",  -   ,"  66,079 "
